用户名,评论内容,点赞数,评论时间
罗弘霉素,一遍烂，两遍笑，三遍哭,15894,2010-07-26 18:41:26
Mona Lishark,有人跟我比赛背台词么,9553,2008-01-01 19:41:02
眠去,为什么越看越觉得悲伤,7915,2007-02-13 12:55:20
Lan~die,经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？ “想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。,7543,2006-10-07 10:48:36
小锡兵,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死,5850,2009-02-03 05:27:31
影志,任何时候任何场合都可以再看一遍的电影,5415,2006-02-05 18:31:34
康报虹,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。,4936,2017-04-14 21:41:11
凉水,紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。,5454,2012-10-26 20:49:43
仲楚,紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。 至尊宝面对现实的两条路: 不成大圣，我无法救你。成了大圣，我无法爱你。,3878,2018-01-30 23:44:02
林愈静,看了不下20遍，彻底看伤了。,1873,2006-04-22 13:09:37
卷子乐子八子,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局……,4756,2008-09-27 20:17:54
甜甜甜甜甜甜甜,小时候看着笑，长大了看着哭。,3836,2013-02-23 01:39:35
野次馬,"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。""",2775,2015-12-27 07:08:31
瓦达西瓦又又又桑只爱这巧克力,因为你还没有遇到给你三颗痣的人,2398,2010-07-06 12:52:25
寂地,"哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的.",1044,2006-01-02 15:05:32
卡特兰,我想，应该不用说什么才对。,908,2006-05-22 08:12:33
