用户名,原评论,预处理后评论
小鱼干小饼干,过度神化的烂片，恶俗无厘头，也不搞笑，碰巧站在时代的浪尖上就飞起来了 纯纯的男版白莲花，屌丝yy，还让女人去做慰an妇？呵呵,过度神化的烂片，恶俗无厘头，也不搞笑，碰巧站在时代的浪尖上就飞起来了 纯纯的男版白莲花，屌丝yy，还让女人去做慰an妇？呵呵
伍德与夏洛蒂,最触动我的，是孙悟空转身走掉时，周星驰和朱茵指着他的背说，他像不像一条狗啊。当场泪奔。,最触动我的，是孙悟空转身走掉时，周星驰和朱茵指着他的背说，他像不像一条狗啊。当场泪奔。
怎么还不可以啊,除了朱茵的美丽我什么都看不懂，这似乎是一场男人的自怜自伤，怪不得用至尊宝做头像的男人需要避雷,除了朱茵的美丽我什么都看不懂，这似乎是一场男人的自怜自伤，怪不得用至尊宝做头像的男人需要避雷
Mr.Pink,我能说这片一点都不好看吗,我能说这片一点都不好看吗
🫧,真•过誉。从来没看一部评分如此高的电影这么失望过。不是看不懂的优秀，是俗套的无趣。无缘无故的爱情，姑娘们无缘无故的钟情，令人呕吐。剧情也是支离破碎莫名其妙。或许抛开开头感情线还可以令人动容，然而爱一个人怎么不需要理由？能看的就只有碎碎念的唐僧和美丽不可方物的朱茵。,真过誉。从来没看一部评分如此高的电影这么失望过。不是看不懂的优秀，是俗套的无趣。无缘无故的爱情，姑娘们无缘无故的钟情，令人呕吐。剧情也是支离破碎莫名其妙。或许抛开开头感情线还可以令人动容，然而爱一个人怎么不需要理由？能看的就只有碎碎念的唐僧和美丽不可方物的朱茵。
Nociv,小时候，看着看着就笑了；长大后，看着看着就tm关了,小时候，看着看着就笑了；长大后，看着看着就tm关了
老阿飞—故园,伴我成长,伴我成长
陈翔,不好意思。无论多少人舔这部电影，在我眼里这就是一部彻头彻尾的烂片。,不好意思。无论多少人舔这部电影，在我眼里这就是一部彻头彻尾的烂片。
琵小歌,感动呜呜……一生所爱,感动呜呜一生所爱
游牧人,#电影院# 第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱（挚爱）的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。, 第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱挚爱的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。
Miss Lucky,其实很伤感,其实很伤感
王小邪,笑着流泪...哭着笑出声...影响了太多人太久时间的经典,笑着流泪...哭着笑出声...影响了太多人太久时间的经典
卡戎,封神了？我觉得一般,封神了？我觉得一般
忧伤的德古拉,恕我直言，我觉得影评里什么第三层第四层的的全在放屁。像极了以前小学做语文题，鲁迅说“家里有两棵枣树”，问，鲁迅这么写有什么含义。鲁迅os：我真没想表达啥啊兄弟们🤦‍♂️。也很烦你们一直讲的那句话，什么“再看已是剧中人”“你们还太小还看不懂”（很不想承认但我还真不小了），我的妈起鸡皮疙瘩..真是矫情啊....怎么，要舍身取义啦？要担起重大责任放弃真爱啦？啧啧啧（此处缺一个李安八字眉龇嘴图）。一大帮子人在寥寥几个胡扯的人的引领下硬生生神化了一部片👍为我浪费的这几个小时而向自己道歉。,恕我直言，我觉得影评里什么第三层第四层的的全在放屁。像极了以前小学做语文题，鲁迅说家里有两棵枣树，问，鲁迅这么写有什么含义。鲁迅os：我真没想表达啥啊兄弟们。也很烦你们一直讲的那句话，什么再看已是剧中人你们还太小还看不懂很不想承认但我还真不小了，我的妈起鸡皮疙瘩..真是矫情啊....怎么，要舍身取义啦？要担起重大责任放弃真爱啦？啧啧啧此处缺一个李安八字眉龇嘴图。一大帮子人在寥寥几个胡扯的人的引领下硬生生神化了一部片为我浪费的这几个小时而向自己道歉。
momo,怎么不能打负分？拿waf做梗的导演死了。,怎么不能打负分？拿waf做梗的导演死了。
欢乐分裂,#重看#看过无数次开头却从未目睹过结尾，悲伤；太多耳熟能详的台词、太多过目难忘的镜头，置于彼时场景，万千感慨涌上心头；爱或不爱，难道有理由吗？取经与否，难道你能选择吗？烂漫俏皮如紫霞，一颦一笑皆有情，那个脚踩祥云的人，若你心有刹那的异样，一定是我曾在你心里留下的泪。,看过无数次开头却从未目睹过结尾，悲伤；太多耳熟能详的台词太多过目难忘的镜头，置于彼时场景，万千感慨涌上心头；爱或不爱，难道有理由吗？取经与否，难道你能选择吗？烂漫俏皮如紫霞，一颦一笑皆有情，那个脚踩祥云的人，若你心有刹那的异样，一定是我曾在你心里留下的泪。
拓小云,要救她就得必须戴上金箍，而戴上金箍就不能跟她在一起。以前的我会选择不戴金箍，觉得轰轰烈烈的爱情才是最伟大的，而现在我选择戴上金箍。有时候放手也是一种伟大，就让她一直等待她那踏着七彩云的意中人来带她走。,要救她就得必须戴上金箍，而戴上金箍就不能跟她在一起。以前的我会选择不戴金箍，觉得轰轰烈烈的爱情才是最伟大的，而现在我选择戴上金箍。有时候放手也是一种伟大，就让她一直等待她那踏着七彩云的意中人来带她走。
乱樂,星爷永远的经典,星爷永远的经典
半缕清风绕指柔,刚又看完大话西游系列忍不住过来拉高一下评分，最爱的国产喜剧电影。,刚又看完大话西游系列忍不住过来拉高一下评分，最爱的国产喜剧电影。
伊卡洛斯,不开心，就算长生不老也没用，开心，就算只能活几天也足够！,不开心，就算长生不老也没用，开心，就算只能活几天也足够！
老鸡｜扶立,永远的至尊宝……永远的斧头帮……,永远的至尊宝永远的斧头帮
Acidflowersky.,以后谁再跟我说伟大的经典情怀必看什么的我就扇他。。,以后谁再跟我说伟大的经典情怀必看什么的我就扇他。。
Liu,实在是过誉 这样的电影9.2分 你们让别的九分电影情何以堪……,实在是过誉 这样的电影9.2分 你们让别的九分电影情何以堪
快乐人生,曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是 ...一万年。,曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是 ...一万年。
